Comment,Sentiment
The best smartphone in the world,Positive
3 so... xx what'a s new? xx xd,Neutral
Oh !so nothing new,Neutral
these two new nokia phones have been comparatively pointless even for so some years till now... the only aspect yet that always keeps increasing dramatically is the price! these would be great if it actually was the year... [UNK],Negative
hey bro this ad jingle is so very tacky [UNK],Negative
Change the design bro😅,Neutral
Love  my Samsung ❤❤❤❤❤❤❤,Positive
i thought the girl was camila cabello,Neutral
My Infinix 2 years old is working in this year 😂😂😂,Positive
"Kudos to SAMSUNG for giving powerful in all parameters phone like this S23; S23 plus & S23 Ultra  ❤❤🎉🎉🎉🎉🎉

One humble request & suggestion from me to consider:

Kindly make S23 Ultra design as like of S23 & S23 Ultra, I mean that to make as ROUND CORNER design instead of existing boxy design one

Kindly consider my request for upcoming S24 series

I wish to buy this S23  Ultra but only keep me away from reason is its boxy design 

If who ever agrees with my request, Kindly hit that like button

Iam as of now using S20 fe 5g bought May 2023, priorly Samsung Note 4 (2015) & Samsung 

I am Samsung fan boy since 2015 & become addicted to One UI since then

Most of our family members use Samsung mobile phone s

❤
Thanks & Regards 
G Suresh",Positive
Nice after a long time,Positive
"envious of the SD 8 gen 2, from my s22+. though the battery here is also very doable, can't imagine how stressfree it would be with the s23 series in terms of power backup",Positive
No Micro SD...why oh why...,Negative
Nice and more expensive than the iPhone 14😂,Positive
Fun video.. but nothing really big as an upgrade if I'm honest (I'm using 2019 midrange phone btw lol),Positive
Watching this masterpiece on my Note 9.. I guess it’s time to upgrade 🎉,Positive
"Since the snapdragon 8 gen 2 support recording videos in 8k 60 fps, please add the ability to record 8k 60 fps in an software update, @Samsung",Neutral
one android must only fight like and this else iphone 6 monopoly will be horrible. [UNK],Negative
this video indeed looks like quite a pop school project!,Neutral
Ah yes. Another intro to the smartphone that I can't afford. Brilliant,Negative
What a nice trailor,Positive
"Nooo thanks ,nothing really new.",Neutral
The Best of all,Positive
"hello, other humans of the road you take, is meant for testing you. its don't t help worry here about what road other human humans will take. terrance out",Neutral
"Apple: we have a brand new design
 Rotates camera*",Positive
I will buy  it ... later,Positive
😎 I'm an s22 ultra user now this is my next beast 🙂,Positive
"the us gray mass foundation pays for ecology, especially while large corporations do absolutely not",Neutral
for one second when he said ThatWasEpic I was sure Juan was gonna pop out lol.,Neutral
"Willing but not able
On day",Neutral
Finally watching this in my new s23 ultra.,Positive
"but with given how much picture focus they already put on with the photos, you ’ d think they ’ re selling a camera. maybe if i wanted to do photography i ’ d simply buy a dslr, not take a sh * tty photo phone with such a good camera",Negative
26 january present of galaxy bay s24 on ultra,Neutral
he cringe,Negative
Vision booster is a True Tone renamed,Neutral
"So cool~~!
It's finally time to free my old Note 10.",Positive
and very lame ad. the features inside are not super bad.,Negative
Without processor and 200mp camera sensor all are same as before.,Neutral
"Amazing product, horrible video",Negative
Why isnt verizon offering the 1tb?,Neutral
i just don'don t feel feel the impulse any of buying such one except after watching video. where's the innovation?... what'u s the change?,Negative
"Play on 🎮 with a super powerful processor and snap away 📷 in ultra-high resolution. What epic moments will you share?
Learn more: http://smsng.co/S23Ultra_Intro_ytp",Positive
So cool!! I think imma switch to samsung❤,Positive
being pathetic.,Negative
Watching from Galaxy S8+ user 😂😂,Positive
One day i will buy Samsung ultra phone in my life by my money,Positive
Samsung allows comments on their new product. Can't say the same for Apple. I guess Samsung values feedback more than Apple.,Neutral
@ was thatwasepic,Neutral
so exited to see iphone 15 this year.... the most powerful smartphone ever.... love it,Positive
What are you guys doing with your billions?,Neutral
The legend is back ❤️❤️❤️❤️❤️,Positive
This my fullfil,Neutral
Wow really cool,Positive
Bacolod city Philippines good item,Positive
"For a top of the line device, this ad is not making me want to buy S23 ultra half as much as previous editions phones ads were published, even the now defunct Note line devices ads were better than this latest one. You used to do so much better Samsung. Disappointed.",Negative
Simply... nothing new,Neutral
"Samsung use to tell this time ""what is new"".
The product fails to create newness on its own.",Negative
S sirish is amazing ❤️😍,Positive
This was way better then I was expecting! I might upgrade from 13 pro max to S23U just because I prefer Samsung,Positive
"Samsung really did it in this one, with their commercial 👏👏👏",Positive
is we now buying silly upgrades game which are supposed to be worth updates here for extra money named eish,Negative
[UNK] this is bloody cringe most crapiest release in [UNK],Negative
iPhone 15 🔥🔥,Positive
"Copy of S22 Ultra .. 
Waste of money .",Negative
"Congratulations to the World 
Here is another greatest creation from Samsung 
Best wishes for you my love Samsung ❤",Positive
"Whatever, the design looks cheap, it runs Android, full of malware and Spyware, so enjoy yourself 😂😂😂😂😂😂😂",Positive
[UNK] dont step compare with ios 1 camera [UNK],Neutral
"I absolutely loathe commercials, this one wasn't bad at all. Way to go Samsung...",Negative
"Uhm, I think yall forgot to release the new phone lol.",Neutral
although i will think its kind of bad service time to apple and not its user,Negative
"Everyone seeing phone
Le me: Seeing the girl with his ring and earring",Neutral
Best Phone of the Year ❤️‍🔥,Positive
"Wow, disappointing.",Negative
samaung king is just doing fraud in even their long echange program,Negative
This ad so cool ❤,Positive
whats with the damn disgusting colour choices? full black paint is possibly the only truly viable one,Negative
people is this a camera rental ad... or a phone ad? right what the heck today is life going by on with this small smartphone industry!!???,Negative
Please fire marketing team 🙏,Neutral
cringe,Negative
I realy want it 🤤 ..... but I dont have money 😥,Neutral
