,Comment,Sentiment
0,"Play on 🎮 with a super powerful processor and snap away 📷 in ultra-high resolution. What epic moments will you share?
Learn more: http://smsng.co/S23Ultra_Intro_ytp",Positive
1,I switched from the iPhone and am currently watching this on my Galaxy S23 Ultra. No regrets switching,Positive
2,It was faster when I bought it.  Now my usage speed is faster.  My fingers are waiting to touch it,Positive
3,I bought a S24,Neutral
4,I have a S24,Neutral
5,Does anyone know that 2023 they released s23 ultra: that means....s19 was released in 2019,Neutral
6,Just bought s23 ultra today ❤️,Positive
7,Now astro 24,Neutral
8,"Dust and Water Resistance is a scam. I took my S23 Ultra into the swimming pool, now the phone got damaged, just after 16 months of use. I really regret buying this stupid expensive phone. Worst decision of my life.",Negative
9,Watching on my S23 Ultra 🥰,Positive
10,Biggest POS phone ever made next to Apple garbage ones.,Negative
11,Love my S23 Ultra. It's been a few months since I bought it. It's a great phone!,Positive
12,hiii PLEASE IF ANYBODY CAN ASWEAR ME I DO A MISTAKE AND I BUY S23 ULTRA ENTERPRISE BUT I AM A TYPICAL USER DO I WILL HAVE PROBLEM?,Negative
13,iPhone 15 pro max 1000 times better than this phone,Positive
14,Worthless mobile i ever hade,Negative
15,Watching on S24U,Neutral
16,S24 design+big camera+ dynamic island = S25💞,Positive
17,"I dont know much, but Samsung are one of the best phone makers out there",Positive
18,I lost my phone help 😢,Negative
19,Metaphor: Eating an apple is like opening a door to health.,Positive
20,"Successfully completed, successfully done, dude of successfully! 🎉👍",Positive
21,"I switched from Iphone 11 to samsung s23 ultra a few days ago and I didn't expect it to be so easy and enjoyable. I thought it would be hard for me to get used to the corners of this smartphone, I didn't know why I needed an s pen, but I love using it so much, wow! 

In this phone, I am satisfied with everything except one thing, which I believe will definitely happen in the future: it is the smoothness of the video (in UHD 60 FPS, of course, it is not noticeable, but I would like a little twitch to disappear on HD. + if the zoom switches more smoothly in the future, I won't have any more objections, ahaha). In other aspects, I don't have a single negative impression, I really like him! And this lavender color is just a bomb! I am grateful to a friend who convinced me to try samsung!",Positive
22,Just bought the phone last week. Best phone I ever had.,Positive
23,"MY DREAM PHONE!! S23 ULTRA AND S24 ULTRA, but it's a shame why they are so expensive",Negative
24,"No Comparison!! 
Not only one,it is super one!!",Positive
25,I am still using s8 with no complaints,Positive
26,Samsung on fuchsia os 🎉🎉🎉❤❤😮😮😮😊😊,Positive
27,Stop ✋️ 🫸 android 🤢🤮💩👎,Negative
28,Beast 🔥,Positive
29,The iPhone 14 launch is waaay better than this,Positive
30,Very good phone,Positive
31,Amazing phone,Positive
32,I was never crazy for mobiles but now,Neutral
33,"For the latest update, u'll farked up the phone !! No longer support Samsung.",Neutral
34,"S23 ultra is a piece of garbage 🗑️ gorilla glass is a lie, mine dropped from my pocket after 4 month on a wooden surface and its screen is not working no more... Its was roughly 1 meter and my phone had a case and protected glass! Guess what? I need to pay 550 to replace it as Samsung doesn't accept warranty!!!",Negative
35,this is a super silly commercial. i kinda dig it.,Positive
36,Watching From My 24 Ultra ☺️🍟,Positive
37,"Apple ad - in a city 
Samsung ad - in the space",Neutral
38,Samsung mobile company They don't try to keep their customers happy and don't take our opinion to give us our freedom. Love is endless from India    🇮🇳🇮🇳🇮🇳,Positive
39,Samsung online mobile phone store Not every mobile phone price can be seen,Neutral
40,How much is this in pesos?,Neutral
41,"Better than every iphone commercial, the music is great too",Positive
42,Watching this on my s23 ultra just bought this today,Neutral
43,The worst effing phone on the planet. I'm sorry I wasted my money on this junk. Instagram doesn't open half the time unless I restart the phone. The memory gets full quick & I have to keep cleaning it. On top if that it's large & clunky.,Negative
44,Great phone,Positive
45,Love  my Samsung ❤❤❤❤❤❤❤,Positive
46,"I own this device,But xiaomi mobile camera has lot of feature like vlog,clone etc.
In this expensive device no feature at all.
Really disappointed. 
Xiaomi 13 lite is better than this.",Negative
47,I'm so glad i got my S23 ULTRA as my very first Samsung Galaxy smartphone device.,Positive
48,Very nice phone,Positive
49,"Apple add only be like :- Shot on iphone 
(and more earn then samsung 😎 Brand Value )",Positive
50,creepy,Negative
51,Watching on s23 ultra,Neutral
52,Still my favorite introduction on Samsung phones along with the S21 Ultra 😍,Positive
53,"Hopefully without a green LED strip suddenly appearing on the display, which Samsung ignores as a guarantee.",Neutral
54,This is the real reason why I decided to Join the Samsung Galaxy range not because I recently bought myself the galaxy watch 4 and galaxy watch 4 Classic but also to try out the S23 ULTRA as my first Samsung galaxy Smartphone device itself which I'm looking to get mine next month.,Positive
55,"hi, i'm blogger and i have a website specialed in smart mobile, can i dowload your videos and upload it into my website and my youtube channel?",Neutral
56,Pinned by Samsung,Neutral
57,"COM. WILL GIVE SOLIDER IRON,Ampier meter and voltmeter.and one or 2 extra parts.ALL RETURNABLE AND EACH 10 DOLLAR FOR DAMAGE IN MY POSITION.",Neutral
58,"2027,5 DAYS A WEEK JOB.",Neutral
59,3 years min.,Neutral
60,"Samsung sir bolchen chole astechi.15 dollar hour,10 dollar a parts.Prepare con.3 years min.500 dollar compansation.If before leave.",Neutral
61,Samsung can you send me one for free🙂,Positive
